race_id,race_date,target_market,observed_tv,target_turnover_won,trifecta_turnover_won,noise_base_per_sqrt_won,break_even_u_won,noise_tv_u_1000,noise_tv_u_10000,noise_tv_u_50000,noise_tv_u_100000
2016-08-26_3_10,2016-08-26,exacta,0.0481340473513,575326200,256253000,0.00014732648543,106743.909432,0.00465887253627,0.014732648543,0.0329432036308,0.0465887253627
2016-08-26_3_11,2016-08-26,exacta,0.0630180521092,551104200,233120200,0.000192918311585,106704.576211,0.00610061266963,0.0192918311585,0.0431378458809,0.0610061266963
2016-08-27_2_04,2016-08-27,exacta,0.132806346133,33625900,29344700,0.00052981448861,62833.3182085,0.0167542052137,0.052981448861,0.1184701212,0.167542052137
2016-08-27_2_07,2016-08-27,exacta,0.049538716642,368418400,203625600,0.000203268492252,59394.9295308,0.00642791412066,0.0203268492252,0.045452216636,0.0642791412066
2016-08-28_1_10,2016-08-28,exacta,0.0549010882914,844774900,371948000,0.00014402054524,145315.856293,0.00455432952818,0.014402054524,0.0322039729313,0.0455432952818
2016-08-28_3_01,2016-08-28,exacta,0.0213217584774,602503800,371721000,0.000118062854486,32615.157541,0.00373347527237,0.0118062854486,0.0263996568249,0.0373347527237
2016-08-28_3_03,2016-08-28,exacta,0.0536287980797,628457400,336635400,0.000148852319198,129803.055696,0.00470712363663,0.0148852319198,0.0332843904334,0.0470712363663
2016-08-28_3_04,2016-08-28,exacta,0.0636646392489,580215600,308236600,0.000228283495057,77776.3465719,0.00721895796603,0.0228283495057,0.0510457413088,0.0721895796603
2016-08-28_3_05,2016-08-28,exacta,0.0677825477788,701405600,355634900,0.00015344298621,195137.930114,0.00485229327402,0.015344298621,0.0343108947836,0.0485229327402
2016-09-02_2_07,2016-09-02,exacta,0.0582810050454,394564400,215657600,0.000217419806089,71854.8119009,0.00687541795675,0.0217419806089,0.0486165466071,0.0687541795675
2016-09-02_3_06,2016-09-02,exacta,0.0495674698361,383494800,212575400,0.000256961027869,37209.940906,0.00812582117963,0.0256961027869,0.0574582325882,0.0812582117963
2016-09-04_1_03,2016-09-04,exacta,0.0470755411032,524858700,283061800,0.00017977507583,68569.6101148,0.00568498706151,0.017977507583,0.0401989290215,0.0568498706151
2016-09-10_1_07,2016-09-10,exacta,0.0339066832734,691565000,366583300,0.000139986901609,58667.261511,0.00442677451675,0.0139986901609,0.0313020227958,0.0442677451675
2016-09-23_2_08,2016-09-23,exacta,0.132653615856,17756000,18574700,0.000692604533008,36683.226351,0.0219020784206,0.0692604533008,0.154871081733,0.219020784206
2016-09-24_2_06,2016-09-24,exacta,0.0528260001769,331657200,188962800,0.000297001665054,31635.7175067,0.00939201730433,0.0297001665054,0.0664115912492,0.0939201730433
2016-09-30_2_05,2016-09-30,exacta,0.105247373416,90398500,216184400,0.000243264203155,187182.877811,0.00769268955155,0.0243264203155,0.0543955294746,0.0769268955155
2016-09-30_2_08,2016-09-30,exacta,0.0728939135581,366514600,204457200,0.000204123798802,127524.97607,0.00645496128861,0.0204123798802,0.0456434689947,0.0645496128861
2016-09-30_3_10,2016-09-30,exacta,0.0563560407453,474421100,210830300,0.000210638368272,71582.3555041,0.00666097006362,0.0210638368272,0.0471001710127,0.0666097006362
2016-10-01_1_09,2016-10-01,exacta,0.0429767093065,491024000,239648700,0.000198340547245,46950.8331539,0.00627207881659,0.0198340547245,0.0443502946334,0.0627207881659
2016-10-01_1_11,2016-10-01,exacta,0.0426042124083,788193500,299342900,0.0001398933833,92749.3202068,0.00442381720814,0.01398933833,0.0312811114661,0.0442381720814
2016-10-01_2_02,2016-10-01,exacta,0.0554907730172,224219200,146591200,0.000302163382144,33725.4601383,0.00955524513074,0.0302163382144,0.0675657862784,0.0955524513074
