race_id,race_date,target_market,model,tv
2025-07-26_1_07,2025-07-26,quinella,harville,0.139955745449
2025-07-26_1_07,2025-07-26,trio,main,0.0510357719012
2025-07-26_1_07,2025-07-26,trio,harville,0.157955795237
2025-07-26_1_09,2025-07-26,win,main,0.0704522104199
2025-07-26_1_09,2025-07-26,win,harville,6.76542155631e-17
2025-07-26_1_09,2025-07-26,exacta,main,0.0570111072305
2025-07-26_1_09,2025-07-26,exacta,harville,0.178148842798
2025-07-26_1_09,2025-07-26,quinella,main,0.0866950563839
2025-07-26_1_09,2025-07-26,quinella,harville,0.198196251294
2025-07-26_1_09,2025-07-26,trio,main,0.0545177307534
2025-07-26_1_09,2025-07-26,trio,harville,0.231143299505
2025-07-26_2_01,2025-07-26,win,main,0.0764822349389
2025-07-26_2_01,2025-07-26,win,harville,8.50014503229e-17
2025-07-26_2_01,2025-07-26,exacta,main,0.0803896664102
2025-07-26_2_01,2025-07-26,exacta,harville,0.0922536907495
2025-07-26_2_01,2025-07-26,quinella,main,0.0721423188817
2025-07-26_2_01,2025-07-26,quinella,harville,0.0899309230143
2025-07-26_2_01,2025-07-26,trio,main,0.0645735952866
2025-07-26_2_01,2025-07-26,trio,harville,0.115654928774
2025-07-26_2_04,2025-07-26,win,main,0.0594499394111
2025-07-26_2_04,2025-07-26,win,harville,7.8062556419e-17
2025-07-26_2_04,2025-07-26,exacta,main,0.0824743901933
2025-07-26_2_04,2025-07-26,exacta,harville,0.111421817045
2025-07-26_2_04,2025-07-26,quinella,main,0.091498348606
2025-07-26_2_04,2025-07-26,quinella,harville,0.143311638808
2025-07-26_2_04,2025-07-26,trio,main,0.0665841722189
2025-07-26_2_04,2025-07-26,trio,harville,0.171495649954
2025-07-26_2_05,2025-07-26,win,main,0.0724358463543
2025-07-26_2_05,2025-07-26,win,harville,9.36750677027e-17
2025-07-26_2_05,2025-07-26,exacta,main,0.0570966159075
2025-07-26_2_05,2025-07-26,exacta,harville,0.113844206906
2025-07-26_2_05,2025-07-26,quinella,main,0.0718436256252
2025-07-26_2_05,2025-07-26,quinella,harville,0.103578453398
2025-07-26_2_05,2025-07-26,trio,main,0.04189508668
2025-07-26_2_05,2025-07-26,trio,harville,0.143341533726
2025-07-27_1_03,2025-07-27,win,main,0.0405225969593
2025-07-27_1_03,2025-07-27,win,harville,5.72458747072e-17
2025-07-27_1_03,2025-07-27,exacta,main,0.0410741670766
2025-07-27_1_03,2025-07-27,exacta,harville,0.109732903033
2025-07-27_1_03,2025-07-27,quinella,main,0.0314331087866
2025-07-27_1_03,2025-07-27,quinella,harville,0.10247789774
2025-07-27_1_03,2025-07-27,trio,main,0.0444425077027
2025-07-27_1_03,2025-07-27,trio,harville,0.146116427953
2025-07-27_1_04,2025-07-27,win,main,0.0491467865801
2025-07-27_1_04,2025-07-27,win,harville,2.25514051877e-17
2025-07-27_1_04,2025-07-27,exacta,main,0.0583586561754
2025-07-27_1_04,2025-07-27,exacta,harville,0.107066935157
2025-07-27_1_04,2025-07-27,quinella,main,0.0669131455642
2025-07-27_1_04,2025-07-27,quinella,harville,0.0734904834776
2025-07-27_1_04,2025-07-27,trio,main,0.0522711391663
2025-07-27_1_04,2025-07-27,trio,harville,0.136020403752
2025-07-27_1_05,2025-07-27,win,main,0.0348692846469
2025-07-27_1_05,2025-07-27,win,harville,1.90819582357e-17
2025-07-27_1_05,2025-07-27,exacta,main,0.0434617331394
2025-07-27_1_05,2025-07-27,exacta,harville,0.128098499329
2025-07-27_1_05,2025-07-27,quinella,main,0.0510946689109
2025-07-27_1_05,2025-07-27,quinella,harville,0.119480104574
2025-07-27_1_05,2025-07-27,trio,main,0.04267702038
2025-07-27_1_05,2025-07-27,trio,harville,0.16596091704
2025-07-27_1_06,2025-07-27,win,main,0.0519888901294
2025-07-27_1_06,2025-07-27,win,harville,7.6327832943e-17
2025-07-27_1_06,2025-07-27,exacta,main,0.039561693847
2025-07-27_1_06,2025-07-27,exacta,harville,0.115876580534
2025-07-27_1_06,2025-07-27,quinella,main,0.0464929957082
2025-07-27_1_06,2025-07-27,quinella,harville,0.133865321033
2025-07-27_1_06,2025-07-27,trio,main,0.0398237209879
2025-07-27_1_06,2025-07-27,trio,harville,0.178492466102
2025-07-27_1_11,2025-07-27,win,main,0.0537717749629
2025-07-27_1_11,2025-07-27,win,harville,2.42861286637e-17
2025-07-27_1_11,2025-07-27,exacta,main,0.0366174818581
2025-07-27_1_11,2025-07-27,exacta,harville,0.0945861896458
2025-07-27_1_11,2025-07-27,quinella,main,0.0604299931686
2025-07-27_1_11,2025-07-27,quinella,harville,0.0700281535449
2025-07-27_1_11,2025-07-27,trio,main,0.0351806425753
2025-07-27_1_11,2025-07-27,trio,harville,0.106096950798
2025-07-27_1_13,2025-07-27,win,main,0.0410587029045
2025-07-27_1_13,2025-07-27,win,harville,8.50014503229e-17
2025-07-27_1_13,2025-07-27,exacta,main,0.0476422481981
2025-07-27_1_13,2025-07-27,exacta,harville,0.112356857165
2025-07-27_1_13,2025-07-27,quinella,main,0.044255205077
2025-07-27_1_13,2025-07-27,quinella,harville,0.098632785893
2025-07-27_1_13,2025-07-27,trio,main,0.044446624124
2025-07-27_1_13,2025-07-27,trio,harville,0.16280917503
2025-08-01_3_01,2025-08-01,win,main,0.106950107901
2025-08-01_3_01,2025-08-01,win,harville,7.97972798949e-17
2025-08-01_3_01,2025-08-01,exacta,main,0.0387966508617
2025-08-01_3_01,2025-08-01,exacta,harville,0.203531155125
2025-08-01_3_01,2025-08-01,quinella,main,0.0487670350732
2025-08-01_3_01,2025-08-01,quinella,harville,0.220061538682
2025-08-01_3_01,2025-08-01,trio,main,0.0421623804703
2025-08-01_3_01,2025-08-01,trio,harville,0.303004132798
2025-08-01_3_14,2025-08-01,win,main,0.06125030317
2025-08-01_3_14,2025-08-01,win,harville,7.6327832943e-17
2025-08-01_3_14,2025-08-01,exacta,main,0.0670499937066
2025-08-01_3_14,2025-08-01,exacta,harville,0.182380796713
2025-08-01_3_14,2025-08-01,quinella,main,0.098985080549
2025-08-01_3_14,2025-08-01,quinella,harville,0.205422476174
2025-08-01_3_14,2025-08-01,trio,main,0.0537553485928
2025-08-01_3_14,2025-08-01,trio,harville,0.223847001596
2025-08-02_1_04,2025-08-02,win,main,0.0973329184797
2025-08-02_1_04,2025-08-02,win,harville,4.85722573274e-17
2025-08-02_1_04,2025-08-02,exacta,main,0.0652841731207
2025-08-02_1_04,2025-08-02,exacta,harville,0.119332042264
2025-08-02_1_04,2025-08-02,quinella,main,0.101184360613
2025-08-02_1_04,2025-08-02,quinella,harville,0.101829866566
2025-08-02_1_04,2025-08-02,trio,main,0.0518933430081
2025-08-02_1_04,2025-08-02,trio,harville,0.145886448759
2025-08-02_1_05,2025-08-02,win,main,0.0713240027133
2025-08-02_1_05,2025-08-02,win,harville,6.50521303491e-17
2025-08-02_1_05,2025-08-02,exacta,main,0.0666623179428
2025-08-02_1_05,2025-08-02,exacta,harville,0.0670928749572
2025-08-02_1_05,2025-08-02,quinella,main,0.0918570575978
2025-08-02_1_05,2025-08-02,quinella,harville,0.080216687558
2025-08-02_1_05,2025-08-02,trio,main,0.050237724704
2025-08-02_1_05,2025-08-02,trio,harville,0.136828146008
2025-08-02_1_06,2025-08-02,win,main,0.0763325608806
2025-08-02_1_06,2025-08-02,win,harville,8.15320033709e-17
2025-08-02_1_06,2025-08-02,exacta,main,0.0622561735663
2025-08-02_1_06,2025-08-02,exacta,harville,0.105496113378
2025-08-02_1_06,2025-08-02,quinella,main,0.0678748031141
2025-08-02_1_06,2025-08-02,quinella,harville,0.097669832616
2025-08-02_1_06,2025-08-02,trio,main,0.0520129958495
2025-08-02_1_06,2025-08-02,trio,harville,0.147550299449
2025-08-02_1_08,2025-08-02,win,main,0.0539289036671
2025-08-02_1_08,2025-08-02,win,harville,1.3357370765e-16
2025-08-02_1_08,2025-08-02,exacta,main,0.0693599256705
2025-08-02_1_08,2025-08-02,exacta,harville,0.147583020105
2025-08-02_1_08,2025-08-02,quinella,main,0.0675260179456
2025-08-02_1_08,2025-08-02,quinella,harville,0.128031954777
2025-08-02_1_08,2025-08-02,trio,main,0.0491583517179
2025-08-02_1_08,2025-08-02,trio,harville,0.144290625973
2025-08-02_1_09,2025-08-02,win,main,0.110393489817
2025-08-02_1_09,2025-08-02,win,harville,7.2858385991e-17
2025-08-02_1_09,2025-08-02,exacta,main,0.0701751445502
2025-08-02_1_09,2025-08-02,exacta,harville,0.126884012036
2025-08-02_1_09,2025-08-02,quinella,main,0.0632009373151
2025-08-02_1_09,2025-08-02,quinella,harville,0.0654423854259
2025-08-02_1_09,2025-08-02,trio,main,0.0428181120988
2025-08-02_1_09,2025-08-02,trio,harville,0.120779140822
2025-08-03_1_04,2025-08-03,win,main,0.037453839039
