probability_model,tail_model,target_market,baseline_model,challenger_model,loss,n_races,n_race_dates,n_years,median_loss_reduction,mean_loss_reduction,bootstrap_median_ci_lower,bootstrap_median_ci_upper,challenger_better_race_share,years_with_positive_median,minimum_year_median_reduction,maximum_year_median_reduction
stage_temperature,power,trifecta,M-R,M-S3,log_rmse,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trifecta,M-R,M-S3,tv,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trifecta,M-S2,M-S3,js,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trifecta,M-S2,M-S3,log_rmse,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trifecta,M-S2,M-S3,tv,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,prelec,trifecta,M-R,M-S2,js,3323,979,8,0.03799714530914156,0.03781690939148811,0.03743833859960866,0.03861434938985255,0.9798374962383388,8,0.03537658949416307,0.0417346760951196
stage_temperature,prelec,trifecta,M-R,M-S2,log_rmse,3323,979,8,0.39009122978380784,0.4100291931037947,0.38431376128547107,0.3969675060538152,0.9846524225097804,8,0.33853855563058954,0.42318962904667823
stage_temperature,prelec,trifecta,M-R,M-S2,tv,3323,979,8,0.10684304350887117,0.10559916189462032,0.10481138496599263,0.10822139285726626,0.9825458922660246,8,0.09627552579620298,0.11394431527149215
stage_temperature,prelec,trifecta,M-R,M-S3,js,3323,979,8,0.050231228654855575,0.04845416997865387,0.04949959920054539,0.05105100231984575,0.9729160397231418,8,0.03981835705531517,0.05745459374801755
stage_temperature,prelec,trifecta,M-R,M-S3,log_rmse,3323,979,8,0.47062454773073453,0.43205233523067227,0.46072786556493656,0.4780786737852058,0.9509479386096901,8,0.35310751678646213,0.5199089108363
stage_temperature,prelec,trifecta,M-R,M-S3,tv,3323,979,8,0.15546612266506388,0.1478081940838655,0.1533597293831925,0.15741524270953602,0.9747216370749323,8,0.12211712626344462,0.17250155697717168
stage_temperature,prelec,trifecta,M-S2,M-S3,js,3323,979,8,0.0124845033543817,0.010637260587165763,0.012088707144769702,0.012839842681551515,0.8696960577791153,8,0.0037096286071988532,0.015351895066510647
stage_temperature,prelec,trifecta,M-S2,M-S3,log_rmse,3323,979,8,0.0951155460389046,0.022023142126877542,0.08798933065982639,0.10222679599963336,0.7041829671983147,6,-0.04722217437152021,0.13053285565107364
stage_temperature,prelec,trifecta,M-S2,M-S3,tv,3323,979,8,0.05003190760014947,0.04220903218924517,0.04852307064261058,0.051028346823672084,0.8778212458621727,8,0.020642712261476265,0.06097950056240113
stage_temperature,isotonic_clip,trio,M-R,M-S2,js,15864,1130,8,0.015967250478540973,0.018080323447815308,0.015591359302548081,0.016356600128311798,0.9786308623298033,8,0.013477878029411116,0.02368596148173831
stage_temperature,isotonic_clip,trio,M-R,M-S2,log_rmse,15864,1130,8,0.38311928522462735,0.3913991521732457,0.3764515703551128,0.38965509381210783,0.9824130105900152,8,0.33986867328553916,0.4765409930005313
stage_temperature,isotonic_clip,trio,M-R,M-S2,tv,15864,1130,8,0.047098193715111356,0.04943976807412979,0.04627049364920027,0.047934710136372474,0.9779374684820978,8,0.038315340929839035,0.06411322755204263
stage_temperature,isotonic_clip,trio,M-R,M-S3,js,15864,1130,8,0.022755689735577105,0.024665252486167927,0.022266478723302043,0.023266483602384543,0.9526601109430156,8,0.01958538068948688,0.030781632558177438
stage_temperature,isotonic_clip,trio,M-R,M-S3,log_rmse,15864,1130,8,0.46833050802258613,0.4704153381243667,0.4589332772608448,0.4779800151486249,0.9441502773575391,8,0.40046415872359187,0.5913281750715726
stage_temperature,isotonic_clip,trio,M-R,M-S3,tv,15864,1130,8,0.07782663956835048,0.07844271388103359,0.07645737310407787,0.07911686087224241,0.9508951084215834,8,0.06645158851449072,0.09459823314696444
stage_temperature,isotonic_clip,trio,M-S2,M-S3,js,15864,1130,8,0.006533324804379591,0.006584929038352622,0.006374190361212294,0.00671373670676172,0.8707135653050933,8,0.004885495664404238,0.008076413183361136
stage_temperature,isotonic_clip,trio,M-S2,M-S3,log_rmse,15864,1130,8,0.10178524674352604,0.07901618595112098,0.09760457083450072,0.10586244840235853,0.7436333837619769,8,0.05621353166662685,0.13977568766826154
stage_temperature,isotonic_clip,trio,M-S2,M-S3,tv,15864,1130,8,0.030750797808465263,0.029002945806903793,0.02999035968512785,0.031401273681281656,0.8785300050428644,8,0.02471503078749667,0.03579350414633849
