probability_model,tail_model,price_model,target_market,n_races,n_years,median_tv,mean_tv,median_mae,median_log_rmse,median_js,median_raw_mae,mean_support_share,all_arguments_supported_race_share,median_common_tv,median_common_log_rmse,median_trimmed_tv,median_trimmed_log_rmse,mean_common_support_share
harville,prelec,M-S3,trifecta,3323,8,0.221253736102159,0.23471866354726323,0.0009520942097248384,0.7391134547281215,0.03762484055688259,0.0013042367554602233,0.9693079281704019,0.7020764369545591,0.19441555898519147,0.5442067776179053,0.22072286714188477,0.7238175763454571,0.30371252071899074
harville,prelec,M-S3,trio,15864,8,0.2129733650139569,0.22407562343702825,0.003345999037479996,0.8394399662750129,0.0362844778280198,0.004583832807753558,0.9407045000511339,0.6016767523953606,0.18056737407261828,0.5343829908743397,0.211963184024371,0.8006540992313256,0.4248522657372884
stage_temperature,isotonic_clip,M-R,exacta,18720,8,0.18628997615507317,0.19308175695732974,0.0037328261720690516,0.8810457222993622,0.02921654382613874,0.005113356397094729,0.6953244262859648,0.03408119658119658,0.15116860104946667,0.5516803289218035,0.17363950434801295,0.7263575437900445,0.6828983179243596
stage_temperature,isotonic_clip,M-R,quinella,19286,8,0.12956238376894724,0.13709480092126047,0.005118782904567861,0.6114127446296305,0.014983692996413816,0.007013450762570991,0.8136992694067774,0.13222026340350512,0.1191962651097965,0.45995467583766514,0.12235282455719673,0.49678200476329193,0.7915021832189726
stage_temperature,isotonic_clip,M-R,trifecta,3323,8,0.32486981399411563,0.31972395154795735,0.001373127284450182,1.0965975182313163,0.07929317007709949,0.0018811463007357885,0.3813840166420666,0.0009027986758952753,0.1979167197621423,0.547986022125745,0.30145276345472494,0.9615250895057613,0.3714115543900377
stage_temperature,isotonic_clip,M-R,trio,15864,8,0.22153852329992085,0.22429345843493326,0.003352651098897553,0.9830986317402917,0.04016149251240707,0.004591964522853881,0.6386745498366149,0.015506807866868382,0.17528276412181557,0.5740604169125166,0.20723249824564655,0.8080013026042409,0.603905233907125
stage_temperature,isotonic_clip,M-S2,exacta,18720,8,0.1064015758553254,0.11762308334354404,0.002168497930200932,0.39035428623500246,0.00929489023607283,0.0029697424561652124,0.9799106317175227,0.8531517094017094,0.10455788719453352,0.3497546966537915,0.10570949748295762,0.3766496522000935,0.6828983179243596
stage_temperature,isotonic_clip,M-S2,quinella,19286,8,0.10292528766479138,0.11261252088505547,0.004150736818405741,0.37868731878652745,0.008814584986433355,0.005681927714832459,0.9612557880952053,0.8340765321995229,0.10232552988581892,0.34561315633631473,0.10231927475536282,0.3653780786275477,0.7915021832189726
stage_temperature,isotonic_clip,M-S2,trifecta,3323,8,0.1671829219494797,0.17522328338513196,0.0006975612675400297,0.46774636922222723,0.021231117189248947,0.0009556077833242763,0.9804223341275704,0.6217273547998796,0.15538358046558473,0.43647697703071786,0.1662052986976404,0.46304981210403723,0.3714115543900377
stage_temperature,isotonic_clip,M-S2,trio,15864,8,0.1679901492669457,0.1748536903608035,0.0025735622701290213,0.5759619404753007,0.021800472185236522,0.003525146712182496,0.7477862242187129,0.177130610186586,0.15734046759032333,0.5008989444026404,0.16602764760271635,0.5478667940233779,0.603905233907125
stage_temperature,isotonic_clip,M-S3,trifecta,3323,8,0.1485678277779811,0.1600705375153105,0.0006276025519009633,0.4470690280555264,0.01705290653483022,0.0008597312558448865,0.9890525510033485,0.9208546494131808,0.1423592303635498,0.3971674831463111,0.14819843967766544,0.43620321325420375,0.3714115543900377
